"id","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
12074,1,0,0,0,1,0,1,0,1,1,0,6.6,0.356,21
2985,1,0,0,1,0,1,0,1,2.4495,1,1,6.9,1.386,21
6998,1,1,0,0,0,0,1,0,0.7634,1,1,5.1,0.048,22
5759,1,0,1,0,1,0,0,1,0.6803,1,2,8,1.432,21
11897,1,0,0,1,0,0,0,1,0.8,1,1,8.3,1.405,22
342,1,0,0,0,1,0,0,1,0.7603,1,2,8.4,1.548,22
7254,0,1,0,1,0,0,0,0,0.4082,1,0,7.5,-1.556,22
3466,1,0,0,0,1,0,0,1,0.8165,1,2,7.5,0.934,21
6218,1,1,0,1,0,0,1,0,0.1633,1,0,6.7,-0.465,22
6314,1,1,0,1,0,0,0,0,0.3415,0,2,6.9,-0.61,22
4895,1,0,0,0,1,0,0,1,1.0733,1,2,12.9,0.945,21
4412,1,0,1,0,1,0,0,0,0.495,1,2,6.9,-0.912,22
4794,1,0,0,0,1,0,1,0,0.6124,1,2,5.9,0.582,21
676,1,1,0,0,0,0,1,0,0.8333,1,1,6.9,-1.364,21
10197,1,1,0,0,0,0,0,0,0.2828,1,2,8.6,-1.489,21
7469,1,1,0,0,0,0,1,0,0,1,2,5.9,-1.475,21
511,1,0,0,0,1,0,1,0,1.3685,1,0,13.1,1.218,22
3171,1,0,0,0,0,1,0,1,3.3541,1,2,5.8,1.573,22
4043,1,0,0,0,0,0,1,0,0.3761,1,0,6.9,0.243,22
2031,0,0,0,1,1,0,0,1,0.5292,1,2,9.9,-1.721,22
7590,1,0,0,1,0,1,0,0,0.4,1,2,5,0.725,22
5920,0,1,0,1,1,0,1,0,0.2828,1,2,11.4,-1.793,22
11875,1,0,0,0,1,0,1,0,0.805,1,0,7.8,0.642,22
3805,1,0,0,0,0,1,0,1,1.7889,1,1,3.7,0.966,22
6910,1,0,1,0,0,0,0,0,0.5411,1,0,6.9,0.337,21
