"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
13925,1982,1945,1,2,4,11,603,2
26901,1991,1942,0,3,5,13,27158,4
24158,1989,1949,0,3,4,3,464,3
30533,1994,1956,1,1,3,16,34380,NA
53314,2010,1953,1,1,5,17,28490,NA
5879,1975,1945,0,1,1,13,20011,4
42703,2002,1970,1,1,1,12,14860.375,NA
14217,1983,1924,0,1,1,14,12779,NA
34969,1996,1961,1,2,5,12,9969,4
24294,1989,1921,1,1,2,15,464,NA
4116,1974,1927,1,1,1,16,22206,2
22810,1988,1937,0,1,1,12,36189,NA
23909,1989,1953,0,1,1,16,34788,NA
45569,2004,1953,1,1,1,14,27171,NA
33814,1996,1954,1,2,3,16,13594,4
13407,1982,1956,1,1,3,10,9042,3
53152,2010,1959,1,1,1,16,72520,4
36795,1998,1934,0,1,1,0,12918,3
14873,1983,1947,1,2,3,10,15619,NA
42724,2002,1956,0,1,1,20,28156.5,3
45459,2004,1937,0,1,1,16,40756.5,NA
22265,1988,1962,1,1,1,12,10857,NA
17266,1985,1948,1,1,1,11,5806,2
8085,1977,1940,0,1,1,12,36114,3
37415,1998,1953,1,2,3,16,31005,3
23373,1989,1949,1,1,5,16,19713,NA
20556,1987,1959,1,1,5,16,16250,4
49840,2006,1953,0,1,1,12,18476.25,4
23702,1989,1961,0,1,5,11,12756,3
22318,1988,1957,1,1,1,12,1930,NA
5519,1975,1914,0,1,1,11,50027,3
5132,1975,1907,0,1,1,14,4447,3
36055,1998,1960,0,1,1,14,25837,3
34935,1996,1931,1,1,1,7,6525,3
22567,1988,1945,0,1,1,14,31364,NA
27857,1993,1952,0,2,1,13,14738,4
11207,1980,1926,0,1,1,10,20770,3
14853,1983,1959,1,1,1,17,18459,NA
29972,1994,1956,0,1,4,13,34380,4
25901,1990,1950,1,1,1,17,24395,4
39154,2000,1961,1,1,3,16,10806,4
35199,1996,1966,1,1,1,17,15406,3
3338,1974,1948,0,1,1,16,30841,4
5542,1975,1906,0,1,1,10,27793,2
29729,1994,1974,1,2,5,12,1528,3
28425,1993,1951,1,1,1,14,1572,3
24372,1989,1957,0,1,3,12,8349,3
19304,1986,1956,0,2,1,4,14015,NA
39517,2000,1962,0,1,5,12,44887,2
12055,1980,1959,1,1,5,7,3021,4
24478,1989,1953,1,1,3,12,12756,2
31686,1994,1953,0,1,1,12,28650,4
50022,2006,1972,0,1,1,12,21318.75,3
21189,1987,1946,1,1,1,14,5500,3
33577,1996,1932,1,1,1,15,15406,NA
43416,2002,1941,1,1,1,15,23463.75,NA
52129,2008,1959,0,1,1,12,480144.47,3
16669,1984,1948,0,1,1,12,20635,4
49823,2006,1976,1,1,5,10,4263.75,3
8780,1977,1944,0,1,1,16,36114,3
13682,1982,1935,0,2,4,10,36167,2
8075,1977,1933,1,1,1,8,10594,2
46152,2004,1939,0,1,1,18,40756.5,NA
48012,2006,1972,1,1,3,17,9238.125,2
39144,2000,1972,0,1,5,13,5985,4
44083,2004,1964,1,1,1,16,33209,NA
18231,1985,1926,0,1,1,8,11876,1
18964,1986,1948,0,1,1,12,21659,NA
44099,2004,1961,1,1,1,14,9811.75,NA
54761,2010,1986,0,1,5,11,16835,2
47074,2006,1969,1,1,1,17,25582.5,4
26984,1991,1931,0,1,2,12,22980,4
6423,1976,1908,0,1,1,16,4074,4
47442,2006,1956,0,3,1,12,10659.375,3
23983,1989,1941,1,1,3,14,10436,3
47116,2006,1959,0,1,1,12,18476.25,NA
54637,2010,1969,1,1,1,13,19425,2
20113,1987,1941,0,1,5,20,32500,3
44736,2004,1952,0,1,5,16,33209,4
38527,2000,1954,1,1,1,12,15793,4
12873,1982,1953,1,1,1,12,16577,4
50977,2006,1944,0,1,3,12,10659.375,2
7720,1977,1950,1,2,5,13,12520,3
52603,2008,1947,1,1,1,12,1071,NA
34971,1996,1947,1,2,2,12,13594,2
29654,1994,1966,0,1,1,16,34380,NA
34730,1996,1977,1,1,5,12,363,3
23753,1989,1958,1,1,1,12,464,3
35691,1998,1971,0,3,1,14,31005,4
17908,1985,1935,1,1,5,16,19793,1
21689,1987,1941,0,2,1,9,21250,3
32808,1996,1977,1,1,5,13,3988,NA
31370,1994,1940,1,1,1,12,1528,4
23704,1989,1941,0,1,5,14,30150,3
48914,2006,1977,1,2,5,14,9238.125,4
51715,2008,1974,0,3,5,12,29452.5,NA
29195,1993,1951,0,1,1,16,43230,3
51638,2008,1964,0,1,1,12,17403.75,3
27307,1991,1956,1,1,1,12,9401,4
40755,2000,1969,0,1,4,12,134018,3
18112,1985,1932,0,1,1,16,24543,2
36383,1998,1963,1,2,5,18,22392,4
35400,1998,1958,0,1,3,13,22392,4
20210,1987,1928,1,2,1,9,4500,3
13647,1982,1942,0,2,4,8,4220,2
39146,2000,1961,1,1,1,13,9143,4
30668,1994,1959,1,1,1,11,14325,NA
47048,2006,1947,0,1,1,17,159292.27,4
27196,1991,1932,1,2,1,14,15668,NA
39322,2000,1958,0,1,3,14,29925,NA
15091,1983,1920,1,1,2,12,18459,NA
15465,1983,1957,1,1,1,12,7384,NA
46784,2006,1957,0,3,3,9,31267.5,2
24654,1989,1962,1,1,1,12,6030,2
33848,1996,1953,1,1,3,17,32625,3
19657,1986,1929,1,1,1,20,38222,NA
27459,1991,1962,1,1,1,16,15668,NA
43858,2004,1946,0,1,1,12,19623.5,NA
17306,1985,1940,0,1,1,13,44863,3
15052,1983,1957,1,2,5,12,8520,NA
29844,1994,1970,0,1,5,14,14325,NA
44332,2004,1945,1,1,3,15,19623.5,NA
46585,2006,1944,0,3,1,16,18476.25,3
38426,2000,1927,1,1,3,18,44887,4
22206,1988,1937,1,1,1,16,13269,2
51092,2008,1950,0,1,4,12,10040.625,3
4118,1974,1924,0,1,1,8,43178,4
45186,2004,1978,0,3,5,3,11321.25,NA
52362,2008,1971,1,1,4,20,480144.47,4
26495,1991,1965,1,2,5,15,22980,NA
15966,1984,1921,0,1,5,18,33016,2
13200,1982,1910,1,1,5,14,603,4
51584,2008,1979,0,1,5,12,14726.25,3
47443,2006,1949,1,1,4,0,9238.125,2
52605,2008,1969,0,1,3,11,4819.5,1
41298,2002,1955,1,1,3,14,62570,4
42652,2002,1938,1,1,1,17,3441.35,3
13805,1982,1937,1,2,1,10,22605,3
10747,1980,1953,1,1,5,18,20770,4
37472,1998,1942,0,1,1,20,150054,4
25782,1990,1958,0,1,1,13,103206,4
28891,1993,1923,1,1,1,12,16703,NA
5058,1975,1953,1,1,5,11,1112,3
26574,1991,1961,1,1,1,14,15668,NA
19521,1986,1945,1,1,1,12,6625,NA
38574,2000,1970,0,1,5,12,14131,4
45085,2004,1975,1,1,4,11,1207.6,NA
14725,1983,1947,0,1,1,13,21299,NA
35250,1996,1948,1,1,5,17,32625,NA
16773,1984,1957,0,1,5,12,33016,3
44763,2004,1955,1,1,1,14,134008.44,NA
31388,1994,1945,0,1,1,20,42020,2
13214,1982,1954,0,1,5,13,16577,3
